"shortlet_name","shortlet_url","shortlet_Address","shortlet_Price"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-first-unity-estate-badore-badore-ajah-lagos-6FXQX","First Unity Estate , Badore Badore Ajah Lagos",""
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-first-unity-estate-badore-ajah-lagos-5JXKK","First Unity Estate Badore Ajah Lagos","50,000/day"
"5 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/5-bedroom-house-for-shortlet-first-unity-estate-badore-ajah-lagos-4JXKL","First Unity Estate Badore Ajah Lagos","130,000/day"
"3 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-house-for-shortlet-egbeda-akowanjo-alimosho-lagos-8JLWF","Egbeda Akowanjo Alimosho Lagos","130,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-ikeja-lagos-2KCHJ","Ikeja Lagos","120,000/day"
"2 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/2-bedroom-flat-apartment-for-shortlet-ikate-lekki-lagos-1KKVQ","Ikate Lekki Lagos","90,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-oniru-victoria-island-lagos-6KKWF","Oniru Victoria Island Lagos","90,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-ikeja-lagos-9KCHK","Ikeja Lagos","150,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-banana-island-ikoyi-lagos-1KCCJ","Banana Island Ikoyi Lagos","150,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-ikeja-lagos-8KCGY","Ikeja Lagos","140,000/day"
"4 BEDROOM HOUSE FOR SALE","https://www.propertypro.ng/property/4-bedroom-house-for-sale-old-bodija-bodija-ibadan-oyo-3KDYF","Old Bodija Bodija Ibadan Oyo",""
"8 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/8-bedroom-house-for-shortlet-first-unity-estate-badore-ajah-lagos-6JXKN","First Unity Estate Badore Ajah Lagos","200,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-first-unity-estate-badore-ajah-lagos-8JXKP","First Unity Estate Badore Ajah Lagos","50,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-ikate-lekki-lagos-5GKGC","Ikate Lekki Lagos","90,000/day"
"4 BEDROOM HOUSE FOR SHORTLET","https://www.propertypro.ng/property/4-bedroom-house-for-shortlet-first-unity-estate-badore-ajah-lagos-0JXKL","First Unity Estate Badore Ajah Lagos","100,000/day"
"3 BEDROOM FLAT / APARTMENT FOR SHORTLET","https://www.propertypro.ng/property/3-bedroom-flat-apartment-for-shortlet-lekki-phase-1-lekki-lagos-2JKHS","Lekki Phase 1 Lekki Lagos","120,000/day"
